Command line: ['16.py']
Total duration: 23.3386s
File: 16.py
File duration: 23.3381s (100.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
   349|         0|            0|            0|  0.00%|        """ Creates a StreamWriter instance.
   350|         0|            0|            0|  0.00%|
   351|         0|            0|            0|  0.00%|            stream must be a file-like object open for writing.
   352|         0|            0|            0|  0.00%|
   353|         0|            0|            0|  0.00%|            The StreamWriter may use different error handling
   354|         0|            0|            0|  0.00%|            schemes by providing the errors keyword argument. These
   355|         0|            0|            0|  0.00%|            parameters are predefined:
   356|         0|            0|            0|  0.00%|
   357|         0|            0|            0|  0.00%|             'strict' - raise a ValueError (or a subclass)
   358|         0|            0|            0|  0.00%|             'ignore' - ignore the character and continue with the next
   359|         0|            0|            0|  0.00%|             'replace'- replace with a suitable replacement character
   360|         0|            0|            0|  0.00%|             'xmlcharrefreplace' - Replace with the appropriate XML
   361|         0|            0|            0|  0.00%|                                   character reference.
   362|         0|            0|            0|  0.00%|             'backslashreplace'  - Replace with backslashed escape
   363|         0|            0|            0|  0.00%|                                   sequences.
   364|         0|            0|            0|  0.00%|             'namereplace'       - Replace with \\N{...} escape sequences.
   365|         0|            0|            0|  0.00%|
   366|         0|            0|            0|  0.00%|            The set of allowed parameter values can be extended via
   367|         0|            0|            0|  0.00%|            register_error.
   368|         0|            0|            0|  0.00%|        """
   369|         0|            0|            0|  0.00%|        self.stream = stream
   370|         0|            0|            0|  0.00%|        self.errors = errors
   371|         0|            0|            0|  0.00%|
   372|         0|            0|            0|  0.00%|    def write(self, object):
   373|         0|            0|            0|  0.00%|
   374|         0|            0|            0|  0.00%|        """ Writes the object's contents encoded to self.stream.
   375|         0|            0|            0|  0.00%|        """
   376|         0|            0|            0|  0.00%|        data, consumed = self.encode(object, self.errors)
   377|         0|            0|            0|  0.00%|        self.stream.write(data)
   378|         0|            0|            0|  0.00%|
   379|         0|            0|            0|  0.00%|    def writelines(self, list):
   380|         0|            0|            0|  0.00%|
   381|         0|            0|            0|  0.00%|        """ Writes the concatenated list of strings to the stream
   382|         0|            0|            0|  0.00%|            using .write().
   383|         0|            0|            0|  0.00%|        """
   384|         0|            0|            0|  0.00%|        self.write(''.join(list))
   385|         0|            0|            0|  0.00%|
   386|         0|            0|            0|  0.00%|    def reset(self):
   387|         0|            0|            0|  0.00%|
   388|         0|            0|            0|  0.00%|        """ Flushes and resets the codec buffers used for keeping state.
   389|         0|            0|            0|  0.00%|
   390|         0|            0|            0|  0.00%|            Calling this method should ensure that the data on the
   391|         0|            0|            0|  0.00%|            output is put into a clean state, that allows appending
   392|         0|            0|            0|  0.00%|            of new fresh data without having to rescan the whole
   393|         0|            0|            0|  0.00%|            stream to recover state.
   394|         0|            0|            0|  0.00%|
   395|         0|            0|            0|  0.00%|        """
   396|         0|            0|            0|  0.00%|        pass
   397|         0|            0|            0|  0.00%|
   398|         0|            0|            0|  0.00%|    def seek(self, offset, whence=0):
   399|         0|            0|            0|  0.00%|        self.stream.seek(offset, whence)
   400|         0|            0|            0|  0.00%|        if whence == 0 and offset == 0:
   401|         0|            0|            0|  0.00%|            self.reset()
   402|         0|            0|            0|  0.00%|
   403|         0|            0|            0|  0.00%|    def __getattr__(self, name,
   404|         0|            0|            0|  0.00%|                    getattr=getattr):
   405|         0|            0|            0|  0.00%|
   406|         0|            0|            0|  0.00%|        """ Inherit all other methods from the underlying stream.
   407|         0|            0|            0|  0.00%|        """
   408|         0|            0|            0|  0.00%|        return getattr(self.stream, name)
   409|         0|            0|            0|  0.00%|
   410|         0|            0|            0|  0.00%|    def __enter__(self):
   411|         0|            0|            0|  0.00%|        return self
   412|         0|            0|            0|  0.00%|
   413|         0|            0|            0|  0.00%|    def __exit__(self, type, value, tb):
   414|         0|            0|            0|  0.00%|        self.stream.close()
   415|         0|            0|            0|  0.00%|
   416|         0|            0|            0|  0.00%|###
   417|         0|            0|            0|  0.00%|
   418|         0|            0|            0|  0.00%|class StreamReader(Codec):
   419|         0|            0|            0|  0.00%|
   420|         0|            0|            0|  0.00%|    charbuffertype = str
   421|         0|            0|            0|  0.00%|
   422|         0|            0|            0|  0.00%|    def __init__(self, stream, errors='strict'):
   423|         0|            0|            0|  0.00%|
   424|         0|            0|            0|  0.00%|        """ Creates a StreamReader instance.
   425|         0|            0|            0|  0.00%|
   426|         0|            0|            0|  0.00%|            stream must be a file-like object open for reading.
   427|         0|            0|            0|  0.00%|
   428|         0|            0|            0|  0.00%|            The StreamReader may use different error handling
   429|         0|            0|            0|  0.00%|            schemes by providing the errors keyword argument. These
   430|         0|            0|            0|  0.00%|            parameters are predefined:
   431|         0|            0|            0|  0.00%|
   432|         0|            0|            0|  0.00%|             'strict' - raise a ValueError (or a subclass)
   433|         0|            0|            0|  0.00%|             'ignore' - ignore the character and continue with the next
   434|         0|            0|            0|  0.00%|             'replace'- replace with a suitable replacement character
   435|         0|            0|            0|  0.00%|             'backslashreplace' - Replace with backslashed escape sequences;
   436|         0|            0|            0|  0.00%|
   437|         0|            0|            0|  0.00%|            The set of allowed parameter values can be extended via
   438|         0|            0|            0|  0.00%|            register_error.
   439|         0|            0|            0|  0.00%|        """
   440|         0|            0|            0|  0.00%|        self.stream = stream
   441|         0|            0|            0|  0.00%|        self.errors = errors
   442|         0|            0|            0|  0.00%|        self.bytebuffer = b""
   443|         0|            0|            0|  0.00%|        self._empty_charbuffer = self.charbuffertype()
   444|         0|            0|            0|  0.00%|        self.charbuffer = self._empty_charbuffer
   445|         0|            0|            0|  0.00%|        self.linebuffer = None
   446|         0|            0|            0|  0.00%|
   447|         0|            0|            0|  0.00%|    def decode(self, input, errors='strict'):
   448|         0|            0|            0|  0.00%|        raise NotImplementedError
   449|         0|            0|            0|  0.00%|
   450|         0|            0|            0|  0.00%|    def read(self, size=-1, chars=-1, firstline=False):
   451|         0|            0|            0|  0.00%|
   452|         0|            0|            0|  0.00%|        """ Decodes data from the stream self.stream and returns the
   453|         0|            0|            0|  0.00%|            resulting object.
   454|         0|            0|            0|  0.00%|
   455|         0|            0|            0|  0.00%|            chars indicates the number of decoded code points or bytes to
   456|         0|            0|            0|  0.00%|            return. read() will never return more data than requested,
   457|         0|            0|            0|  0.00%|            but it might return less, if there is not enough available.
   458|         0|            0|            0|  0.00%|
   459|         0|            0|            0|  0.00%|            size indicates the approximate maximum number of decoded
   460|         0|            0|            0|  0.00%|            bytes or code points to read for decoding. The decoder
   461|         0|            0|            0|  0.00%|            can modify this setting as appropriate. The default value
   462|         0|            0|            0|  0.00%|            -1 indicates to read and decode as much as possible.  size
   463|         0|            0|            0|  0.00%|            is intended to prevent having to decode huge files in one
   464|         0|            0|            0|  0.00%|            step.
   465|         0|            0|            0|  0.00%|
   466|         0|            0|            0|  0.00%|            If firstline is true, and a UnicodeDecodeError happens
   467|         0|            0|            0|  0.00%|            after the first line terminator in the input only the first line
   468|         0|            0|            0|  0.00%|            will be returned, the rest of the input will be kept until the
   469|         0|            0|            0|  0.00%|            next call to read().
   470|         0|            0|            0|  0.00%|
   471|         0|            0|            0|  0.00%|            The method should use a greedy read strategy, meaning that
   472|         0|            0|            0|  0.00%|            it should read as much data as is allowed within the
   473|         0|            0|            0|  0.00%|            definition of the encoding and the given size, e.g.  if
   474|         0|            0|            0|  0.00%|            optional encoding endings or state markers are available
   475|         0|            0|            0|  0.00%|            on the stream, these should be read too.
   476|         0|            0|            0|  0.00%|        """
   477|         0|            0|            0|  0.00%|        # If we have lines cached, first merge them back into characters
   478|         0|            0|            0|  0.00%|        if self.linebuffer:
   479|         0|            0|            0|  0.00%|            self.charbuffer = self._empty_charbuffer.join(self.linebuffer)
   480|         0|            0|            0|  0.00%|            self.linebuffer = None
   481|         0|            0|            0|  0.00%|
   482|         0|            0|            0|  0.00%|        # read until we get the required number of characters (if available)
   483|         0|            0|            0|  0.00%|        while True:
   484|         0|            0|            0|  0.00%|            # can the request be satisfied from the character buffer?
   485|         0|            0|            0|  0.00%|            if chars >= 0:
   486|         0|            0|            0|  0.00%|                if len(self.charbuffer) >= chars:
   487|         0|            0|            0|  0.00%|                    break
   488|         0|            0|            0|  0.00%|            elif size >= 0:
   489|         0|            0|            0|  0.00%|                if len(self.charbuffer) >= size:
   490|         0|            0|            0|  0.00%|                    break
   491|         0|            0|            0|  0.00%|            # we need more data
   492|         0|            0|            0|  0.00%|            if size < 0:
   493|         0|            0|            0|  0.00%|                newdata = self.stream.read()
   494|         0|            0|            0|  0.00%|            else:
   495|         0|            0|            0|  0.00%|                newdata = self.stream.read(size)
   496|         0|            0|            0|  0.00%|            # decode bytes (those remaining from the last call included)
   497|         0|            0|            0|  0.00%|            data = self.bytebuffer + newdata
   498|         0|            0|            0|  0.00%|            if not data:
   499|         0|            0|            0|  0.00%|                break
   500|         0|            0|            0|  0.00%|            try:
   501|         0|            0|            0|  0.00%|                newchars, decodedbytes = self.decode(data, self.errors)
   502|         0|            0|            0|  0.00%|            except UnicodeDecodeError as exc:
   503|         0|            0|            0|  0.00%|                if firstline:
   504|         0|            0|            0|  0.00%|                    newchars, decodedbytes = \
   505|         0|            0|            0|  0.00%|                        self.decode(data[:exc.start], self.errors)
   506|         0|            0|            0|  0.00%|                    lines = newchars.splitlines(keepends=True)
   507|         0|            0|            0|  0.00%|                    if len(lines)<=1:
   508|         0|            0|            0|  0.00%|                        raise
   509|         0|            0|            0|  0.00%|                else:
   510|         0|            0|            0|  0.00%|                    raise
   511|         0|            0|            0|  0.00%|            # keep undecoded bytes until the next call
   512|         0|            0|            0|  0.00%|            self.bytebuffer = data[decodedbytes:]
   513|         0|            0|            0|  0.00%|            # put new characters in the character buffer
   514|         0|            0|            0|  0.00%|            self.charbuffer += newchars
   515|         0|            0|            0|  0.00%|            # there was no data available
   516|         0|            0|            0|  0.00%|            if not newdata:
   517|         0|            0|            0|  0.00%|                break
   518|         0|            0|            0|  0.00%|        if chars < 0:
   519|         0|            0|            0|  0.00%|            # Return everything we've got
   520|         0|            0|            0|  0.00%|            result = self.charbuffer
   521|         0|            0|            0|  0.00%|            self.charbuffer = self._empty_charbuffer
   522|         0|            0|            0|  0.00%|        else:
   523|         0|            0|            0|  0.00%|            # Return the first chars characters
   524|         0|            0|            0|  0.00%|            result = self.charbuffer[:chars]
   525|         0|            0|            0|  0.00%|            self.charbuffer = self.charbuffer[chars:]
   526|         0|            0|            0|  0.00%|        return result
   527|         0|            0|            0|  0.00%|
   528|         0|            0|            0|  0.00%|    def readline(self, size=None, keepends=True):
   529|         0|            0|            0|  0.00%|
   530|         0|            0|            0|  0.00%|        """ Read one line from the input stream and return the
   531|         0|            0|            0|  0.00%|            decoded data.
   532|         0|            0|            0|  0.00%|
   533|         0|            0|            0|  0.00%|            size, if given, is passed as size argument to the
   534|         0|            0|            0|  0.00%|            read() method.
   535|         0|            0|            0|  0.00%|
   536|         0|            0|            0|  0.00%|        """
   537|         0|            0|            0|  0.00%|        # If we have lines cached from an earlier read, return
   538|         0|            0|            0|  0.00%|        # them unconditionally
   539|         0|            0|            0|  0.00%|        if self.linebuffer:
   540|         0|            0|            0|  0.00%|            line = self.linebuffer[0]
   541|         0|            0|            0|  0.00%|            del self.linebuffer[0]
   542|         0|            0|            0|  0.00%|            if len(self.linebuffer) == 1:
   543|         0|            0|            0|  0.00%|                # revert to charbuffer mode; we might need more data
   544|         0|            0|            0|  0.00%|                # next time
   545|         0|            0|            0|  0.00%|                self.charbuffer = self.linebuffer[0]
   546|         0|            0|            0|  0.00%|                self.linebuffer = None
   547|         0|            0|            0|  0.00%|            if not keepends:
   548|         0|            0|            0|  0.00%|                line = line.splitlines(keepends=False)[0]
   549|         0|            0|            0|  0.00%|            return line
   550|         0|            0|            0|  0.00%|
   551|         0|            0|            0|  0.00%|        readsize = size or 72
   552|         0|            0|            0|  0.00%|        line = self._empty_charbuffer
   553|         0|            0|            0|  0.00%|        # If size is given, we call read() only once
   554|         0|            0|            0|  0.00%|        while True:
   555|         0|            0|            0|  0.00%|            data = self.read(readsize, firstline=True)
   556|         0|            0|            0|  0.00%|            if data:
   557|         0|            0|            0|  0.00%|                # If we're at a "\r" read one extra character (which might
   558|         0|            0|            0|  0.00%|                # be a "\n") to get a proper line ending. If the stream is
   559|         0|            0|            0|  0.00%|                # temporarily exhausted we return the wrong line ending.
   560|         0|            0|            0|  0.00%|                if (isinstance(data, str) and data.endswith("\r")) or \
   561|         0|            0|            0|  0.00%|                   (isinstance(data, bytes) and data.endswith(b"\r")):
   562|         0|            0|            0|  0.00%|                    data += self.read(size=1, chars=1)
   563|         0|            0|            0|  0.00%|
   564|         0|            0|            0|  0.00%|            line += data
   565|         0|            0|            0|  0.00%|            lines = line.splitlines(keepends=True)
   566|         0|            0|            0|  0.00%|            if lines:
   567|         0|            0|            0|  0.00%|                if len(lines) > 1:
   568|         0|            0|            0|  0.00%|                    # More than one line result; the first line is a full line
   569|         0|            0|            0|  0.00%|                    # to return
   570|         0|            0|            0|  0.00%|                    line = lines[0]
   571|         0|            0|            0|  0.00%|                    del lines[0]
   572|         0|            0|            0|  0.00%|                    if len(lines) > 1:
   573|         0|            0|            0|  0.00%|                        # cache the remaining lines
   574|         0|            0|            0|  0.00%|                        lines[-1] += self.charbuffer
   575|         0|            0|            0|  0.00%|                        self.linebuffer = lines
   576|         0|            0|            0|  0.00%|                        self.charbuffer = None
   577|         0|            0|            0|  0.00%|                    else:
   578|         0|            0|            0|  0.00%|                        # only one remaining line, put it back into charbuffer
   579|         0|            0|            0|  0.00%|                        self.charbuffer = lines[0] + self.charbuffer
   580|         0|            0|            0|  0.00%|                    if not keepends:
   581|         0|            0|            0|  0.00%|                        line = line.splitlines(keepends=False)[0]
   582|         0|            0|            0|  0.00%|                    break
   583|         0|            0|            0|  0.00%|                line0withend = lines[0]
   584|         0|            0|            0|  0.00%|                line0withoutend = lines[0].splitlines(keepends=False)[0]
   585|         0|            0|            0|  0.00%|                if line0withend != line0withoutend: # We really have a line end
   586|         0|            0|            0|  0.00%|                    # Put the rest back together and keep it until the next call
   587|         0|            0|            0|  0.00%|                    self.charbuffer = self._empty_charbuffer.join(lines[1:]) + \
   588|         0|            0|            0|  0.00%|                                      self.charbuffer
   589|         0|            0|            0|  0.00%|                    if keepends:
   590|         0|            0|            0|  0.00%|                        line = line0withend
   591|         0|            0|            0|  0.00%|                    else:
   592|         0|            0|            0|  0.00%|                        line = line0withoutend
   593|         0|            0|            0|  0.00%|                    break
   594|         0|            0|            0|  0.00%|            # we didn't get anything or this was our only try
   595|         0|            0|            0|  0.00%|            if not data or size is not None:
   596|         0|            0|            0|  0.00%|                if line and not keepends:
   597|         0|            0|            0|  0.00%|                    line = line.splitlines(keepends=False)[0]
   598|         0|            0|            0|  0.00%|                break
   599|         0|            0|            0|  0.00%|            if readsize < 8000:
   600|         0|            0|            0|  0.00%|                readsize *= 2
   601|         0|            0|            0|  0.00%|        return line
   602|         0|            0|            0|  0.00%|
   603|         0|            0|            0|  0.00%|    def readlines(self, sizehint=None, keepends=True):
   604|         0|            0|            0|  0.00%|
   605|         0|            0|            0|  0.00%|        """ Read all lines available on the input stream
   606|         0|            0|            0|  0.00%|            and return them as a list.
   607|         0|            0|            0|  0.00%|
   608|         0|            0|            0|  0.00%|            Line breaks are implemented using the codec's decoder
   609|         0|            0|            0|  0.00%|            method and are included in the list entries.
   610|         0|            0|            0|  0.00%|
   611|         0|            0|            0|  0.00%|            sizehint, if given, is ignored since there is no efficient
   612|         0|            0|            0|  0.00%|            way to finding the true end-of-line.
   613|         0|            0|            0|  0.00%|
   614|         0|            0|            0|  0.00%|        """
   615|         0|            0|            0|  0.00%|        data = self.read()
   616|         0|            0|            0|  0.00%|        return data.splitlines(keepends)
   617|         0|            0|            0|  0.00%|
   618|         0|            0|            0|  0.00%|    def reset(self):
   619|         0|            0|            0|  0.00%|
   620|         0|            0|            0|  0.00%|        """ Resets the codec buffers used for keeping state.
   621|         0|            0|            0|  0.00%|
   622|         0|            0|            0|  0.00%|            Note that no stream repositioning should take place.
   623|         0|            0|            0|  0.00%|            This method is primarily intended to be able to recover
   624|         0|            0|            0|  0.00%|            from decoding errors.
   625|         0|            0|            0|  0.00%|
   626|         0|            0|            0|  0.00%|        """
   627|         0|            0|            0|  0.00%|        self.bytebuffer = b""
   628|         0|            0|            0|  0.00%|        self.charbuffer = self._empty_charbuffer
   629|         0|            0|            0|  0.00%|        self.linebuffer = None
   630|         0|            0|            0|  0.00%|
   631|         0|            0|            0|  0.00%|    def seek(self, offset, whence=0):
   632|         0|            0|            0|  0.00%|        """ Set the input stream's current position.
   633|         0|            0|            0|  0.00%|
   634|         0|            0|            0|  0.00%|            Resets the codec buffers used for keeping state.
   635|         0|            0|            0|  0.00%|        """
   636|         0|            0|            0|  0.00%|        self.stream.seek(offset, whence)
   637|         0|            0|            0|  0.00%|        self.reset()
   638|         0|            0|            0|  0.00%|
   639|         0|            0|            0|  0.00%|    def __next__(self):
   640|         0|            0|            0|  0.00%|
   641|         0|            0|            0|  0.00%|        """ Return the next decoded line from the input stream."""
   642|         0|            0|            0|  0.00%|        line = self.readline()
   643|         0|            0|            0|  0.00%|        if line:
   644|         0|            0|            0|  0.00%|            return line
   645|         0|            0|            0|  0.00%|        raise StopIteration
   646|         0|            0|            0|  0.00%|
   647|         0|            0|            0|  0.00%|    def __iter__(self):
   648|         0|            0|            0|  0.00%|        return self
   649|         0|            0|            0|  0.00%|
   650|         0|            0|            0|  0.00%|    def __getattr__(self, name,
   651|         0|            0|            0|  0.00%|                    getattr=getattr):
   652|         0|            0|            0|  0.00%|
   653|         0|            0|            0|  0.00%|        """ Inherit all other methods from the underlying stream.
   654|         0|            0|            0|  0.00%|        """
   655|         0|            0|            0|  0.00%|        return getattr(self.stream, name)
   656|         0|            0|            0|  0.00%|
   657|         0|            0|            0|  0.00%|    def __enter__(self):
   658|         0|            0|            0|  0.00%|        return self
   659|         0|            0|            0|  0.00%|
   660|         0|            0|            0|  0.00%|    def __exit__(self, type, value, tb):
   661|         0|            0|            0|  0.00%|        self.stream.close()
   662|         0|            0|            0|  0.00%|
   663|         0|            0|            0|  0.00%|###
   664|         0|            0|            0|  0.00%|
   665|         0|            0|            0|  0.00%|class StreamReaderWriter:
   666|         0|            0|            0|  0.00%|
   667|         0|            0|            0|  0.00%|    """ StreamReaderWriter instances allow wrapping streams which
   668|         0|            0|            0|  0.00%|        work in both read and write modes.
   669|         0|            0|            0|  0.00%|
   670|         0|            0|            0|  0.00%|        The design is such that one can use the factory functions
   671|         0|            0|            0|  0.00%|        returned by the codec.lookup() function to construct the
   672|         0|            0|            0|  0.00%|        instance.
   673|         0|            0|            0|  0.00%|
   674|         0|            0|            0|  0.00%|    """
   675|         0|            0|            0|  0.00%|    # Optional attributes set by the file wrappers below
   676|         0|            0|            0|  0.00%|    encoding = 'unknown'
   677|         0|            0|            0|  0.00%|
   678|         0|            0|            0|  0.00%|    def __init__(self, stream, Reader, Writer, errors='strict'):
   679|         0|            0|            0|  0.00%|
   680|         0|            0|            0|  0.00%|        """ Creates a StreamReaderWriter instance.
   681|         0|            0|            0|  0.00%|
   682|         0|            0|            0|  0.00%|            stream must be a Stream-like object.
   683|         0|            0|            0|  0.00%|
   684|         0|            0|            0|  0.00%|            Reader, Writer must be factory functions or classes
   685|         0|            0|            0|  0.00%|            providing the StreamReader, StreamWriter interface resp.
   686|         0|            0|            0|  0.00%|
   687|         0|            0|            0|  0.00%|            Error handling is done in the same way as defined for the
   688|         0|            0|            0|  0.00%|            StreamWriter/Readers.
   689|         0|            0|            0|  0.00%|
   690|         0|            0|            0|  0.00%|        """
   691|         0|            0|            0|  0.00%|        self.stream = stream
   692|         0|            0|            0|  0.00%|        self.reader = Reader(stream, errors)
   693|         0|            0|            0|  0.00%|        self.writer = Writer(stream, errors)
   694|         0|            0|            0|  0.00%|        self.errors = errors
   695|         0|            0|            0|  0.00%|
   696|         0|            0|            0|  0.00%|    def read(self, size=-1):
   697|         0|            0|            0|  0.00%|
   698|         0|            0|            0|  0.00%|        return self.reader.read(size)
   699|         0|            0|            0|  0.00%|
   700|         0|            0|            0|  0.00%|    def readline(self, size=None):
   701|         0|            0|            0|  0.00%|
   702|         0|            0|            0|  0.00%|        return self.reader.readline(size)
   703|         0|            0|            0|  0.00%|
   704|         0|            0|            0|  0.00%|    def readlines(self, sizehint=None):
   705|         0|            0|            0|  0.00%|
   706|         0|            0|            0|  0.00%|        return self.reader.readlines(sizehint)
   707|         0|            0|            0|  0.00%|
   708|         0|            0|            0|  0.00%|    def __next__(self):
   709|         0|            0|            0|  0.00%|
   710|         0|            0|            0|  0.00%|        """ Return the next decoded line from the input stream."""
   711|         0|            0|            0|  0.00%|        return next(self.reader)
   712|         0|            0|            0|  0.00%|
   713|         0|            0|            0|  0.00%|    def __iter__(self):
   714|         0|            0|            0|  0.00%|        return self
   715|         0|            0|            0|  0.00%|
   716|         0|            0|            0|  0.00%|    def write(self, data):
   717|         0|            0|            0|  0.00%|
   718|         0|            0|            0|  0.00%|        return self.writer.write(data)
   719|         0|            0|            0|  0.00%|
   720|         0|            0|            0|  0.00%|    def writelines(self, list):
   721|         0|            0|            0|  0.00%|
   722|         0|            0|            0|  0.00%|        return self.writer.writelines(list)
   723|         0|            0|            0|  0.00%|
   724|         0|            0|            0|  0.00%|    def reset(self):
   725|         0|            0|            0|  0.00%|
   726|         0|            0|            0|  0.00%|        self.reader.reset()
   727|         0|            0|            0|  0.00%|        self.writer.reset()
   728|         0|            0|            0|  0.00%|
   729|         0|            0|            0|  0.00%|    def seek(self, offset, whence=0):
   730|         0|            0|            0|  0.00%|        self.stream.seek(offset, whence)
   731|         0|            0|            0|  0.00%|        self.reader.reset()
   732|         0|            0|            0|  0.00%|        if whence == 0 and offset == 0:
   733|         0|            0|            0|  0.00%|            self.writer.reset()
   734|         0|            0|            0|  0.00%|
   735|         0|            0|            0|  0.00%|    def __getattr__(self, name,
   736|         0|            0|            0|  0.00%|                    getattr=getattr):
   737|         0|            0|            0|  0.00%|
   738|         0|            0|            0|  0.00%|        """ Inherit all other methods from the underlying stream.
   739|         0|            0|            0|  0.00%|        """
   740|         0|            0|            0|  0.00%|        return getattr(self.stream, name)
   741|         0|            0|            0|  0.00%|
   742|         0|            0|            0|  0.00%|    # these are needed to make "with codecs.open(...)" work properly
   743|         0|            0|            0|  0.00%|
   744|         0|            0|            0|  0.00%|    def __enter__(self):
   745|         0|            0|            0|  0.00%|        return self
   746|         0|            0|            0|  0.00%|
   747|         0|            0|            0|  0.00%|    def __exit__(self, type, value, tb):
   748|         0|            0|            0|  0.00%|        self.stream.close()
   749|         0|            0|            0|  0.00%|
   750|         0|            0|            0|  0.00%|###
   751|         0|            0|            0|  0.00%|
   752|         0|            0|            0|  0.00%|class StreamRecoder:
   753|         0|            0|            0|  0.00%|
   754|         0|            0|            0|  0.00%|    """ StreamRecoder instances translate data from one encoding to another.
   755|         0|            0|            0|  0.00%|
   756|         0|            0|            0|  0.00%|        They use the complete set of APIs returned by the
   757|         0|            0|            0|  0.00%|        codecs.lookup() function to implement their task.
   758|         0|            0|            0|  0.00%|
   759|         0|            0|            0|  0.00%|        Data written to the StreamRecoder is first decoded into an
   760|         0|            0|            0|  0.00%|        intermediate format (depending on the "decode" codec) and then
   761|         0|            0|            0|  0.00%|        written to the underlying stream using an instance of the provided
   762|         0|            0|            0|  0.00%|        Writer class.
   763|         0|            0|            0|  0.00%|
   764|         0|            0|            0|  0.00%|        In the other direction, data is read from the underlying stream using
   765|         0|            0|            0|  0.00%|        a Reader instance and then encoded and returned to the caller.
   766|         0|            0|            0|  0.00%|
   767|         0|            0|            0|  0.00%|    """
   768|         0|            0|            0|  0.00%|    # Optional attributes set by the file wrappers below
   769|         0|            0|            0|  0.00%|    data_encoding = 'unknown'
   770|         0|            0|            0|  0.00%|    file_encoding = 'unknown'
   771|         0|            0|            0|  0.00%|
   772|         0|            0|            0|  0.00%|    def __init__(self, stream, encode, decode, Reader, Writer,
   773|         0|            0|            0|  0.00%|                 errors='strict'):
   774|         0|            0|            0|  0.00%|
   775|         0|            0|            0|  0.00%|        """ Creates a StreamRecoder instance which implements a two-way
   776|         0|            0|            0|  0.00%|            conversion: encode and decode work on the frontend (the
   777|         0|            0|            0|  0.00%|            data visible to .read() and .write()) while Reader and Writer
   778|         0|            0|            0|  0.00%|            work on the backend (the data in stream).
   779|         0|            0|            0|  0.00%|
   780|         0|            0|            0|  0.00%|            You can use these objects to do transparent
   781|         0|            0|            0|  0.00%|            transcodings from e.g. latin-1 to utf-8 and back.
   782|         0|            0|            0|  0.00%|
   783|         0|            0|            0|  0.00%|            stream must be a file-like object.
   784|         0|            0|            0|  0.00%|
   785|         0|            0|            0|  0.00%|            encode and decode must adhere to the Codec interface; Reader and
   786|         0|            0|            0|  0.00%|            Writer must be factory functions or classes providing the
   787|         0|            0|            0|  0.00%|            StreamReader and StreamWriter interfaces resp.
   788|         0|            0|            0|  0.00%|
   789|         0|            0|            0|  0.00%|            Error handling is done in the same way as defined for the
   790|         0|            0|            0|  0.00%|            StreamWriter/Readers.
   791|         0|            0|            0|  0.00%|
   792|         0|            0|            0|  0.00%|        """
   793|         0|            0|            0|  0.00%|        self.stream = stream
   794|         0|            0|            0|  0.00%|        self.encode = encode
   795|         0|            0|            0|  0.00%|        self.decode = decode
   796|         0|            0|            0|  0.00%|        self.reader = Reader(stream, errors)
   797|         0|            0|            0|  0.00%|        self.writer = Writer(stream, errors)
   798|         0|            0|            0|  0.00%|        self.errors = errors
   799|         0|            0|            0|  0.00%|
   800|         0|            0|            0|  0.00%|    def read(self, size=-1):
   801|         0|            0|            0|  0.00%|
   802|         0|            0|            0|  0.00%|        data = self.reader.read(size)
   803|         0|            0|            0|  0.00%|        data, bytesencoded = self.encode(data, self.errors)
   804|         0|            0|            0|  0.00%|        return data
   805|         0|            0|            0|  0.00%|
   806|         0|            0|            0|  0.00%|    def readline(self, size=None):
   807|         0|            0|            0|  0.00%|
   808|         0|            0|            0|  0.00%|        if size is None:
   809|         0|            0|            0|  0.00%|            data = self.reader.readline()
   810|         0|            0|            0|  0.00%|        else:
   811|         0|            0|            0|  0.00%|            data = self.reader.readline(size)
   812|         0|            0|            0|  0.00%|        data, bytesencoded = self.encode(data, self.errors)
   813|         0|            0|            0|  0.00%|        return data
   814|         0|            0|            0|  0.00%|
   815|         0|            0|            0|  0.00%|    def readlines(self, sizehint=None):
   816|         0|            0|            0|  0.00%|
   817|         0|            0|            0|  0.00%|        data = self.reader.read()
   818|         0|            0|            0|  0.00%|        data, bytesencoded = self.encode(data, self.errors)
   819|         0|            0|            0|  0.00%|        return data.splitlines(keepends=True)
   820|         0|            0|            0|  0.00%|
   821|         0|            0|            0|  0.00%|    def __next__(self):
   822|         0|            0|            0|  0.00%|
   823|         0|            0|            0|  0.00%|        """ Return the next decoded line from the input stream."""
   824|         0|            0|            0|  0.00%|        data = next(self.reader)
   825|         0|            0|            0|  0.00%|        data, bytesencoded = self.encode(data, self.errors)
   826|         0|            0|            0|  0.00%|        return data
   827|         0|            0|            0|  0.00%|
   828|         0|            0|            0|  0.00%|    def __iter__(self):
   829|         0|            0|            0|  0.00%|        return self
   830|         0|            0|            0|  0.00%|
   831|         0|            0|            0|  0.00%|    def write(self, data):
   832|         0|            0|            0|  0.00%|
   833|         0|            0|            0|  0.00%|        data, bytesdecoded = self.decode(data, self.errors)
   834|         0|            0|            0|  0.00%|        return self.writer.write(data)
   835|         0|            0|            0|  0.00%|
   836|         0|            0|            0|  0.00%|    def writelines(self, list):
   837|         0|            0|            0|  0.00%|
   838|         0|            0|            0|  0.00%|        data = ''.join(list)
   839|         0|            0|            0|  0.00%|        data, bytesdecoded = self.decode(data, self.errors)
